,symbol,date,volume,close,day,minute
0,SPY,2022-03-21 09:30:00,4363511,445.7900085449219,2022-03-21,570
1,SPY,2022-03-21 09:35:00,2008084,446.260009765625,2022-03-21,575
2,SPY,2022-03-21 09:40:00,1324533,445.8399963378906,2022-03-21,580
3,SPY,2022-03-21 09:45:00,1577899,444.989990234375,2022-03-21,585
4,SPY,2022-03-21 09:50:00,1540934,443.9200134277344,2022-03-21,590
5,SPY,2022-03-21 09:55:00,1244584,443.947998046875,2022-03-21,595
6,SPY,2022-03-21 10:00:00,1063599,443.55999755859375,2022-03-21,600
7,SPY,2022-03-21 10:05:00,1217630,443.5799865722656,2022-03-21,605
8,SPY,2022-03-21 10:10:00,1077227,443.4200134277344,2022-03-21,610
9,SPY,2022-03-21 10:15:00,971479,443.5299987792969,2022-03-21,615
10,SPY,2022-03-21 10:20:00,907637,443.30999755859375,2022-03-21,620
11,SPY,2022-03-21 10:25:00,788737,442.989990234375,2022-03-21,625
12,SPY,2022-03-21 10:30:00,997620,442.8599853515625,2022-03-21,630
13,SPY,2022-03-21 10:35:00,947678,443.5899963378906,2022-03-21,635
14,SPY,2022-03-21 10:40:00,950321,443.6700134277344,2022-03-21,640
15,SPY,2022-03-21 10:45:00,1092905,444.0450134277344,2022-03-21,645
16,SPY,2022-03-21 10:50:00,1364265,444.510009765625,2022-03-21,650
17,SPY,2022-03-21 10:55:00,1052465,444.8800048828125,2022-03-21,655
18,SPY,2022-03-21 11:00:00,1007065,444.885009765625,2022-03-21,660
19,SPY,2022-03-21 11:05:00,942051,444.3819885253906,2022-03-21,665
20,SPY,2022-03-21 11:10:00,684091,444.7950134277344,2022-03-21,670
21,SPY,2022-03-21 11:15:00,1102418,445.010009765625,2022-03-21,675
22,SPY,2022-03-21 11:20:00,604704,445.4100036621094,2022-03-21,680
23,SPY,2022-03-21 11:25:00,754753,445.4849853515625,2022-03-21,685
24,SPY,2022-03-21 11:30:00,695863,445.3399963378906,2022-03-21,690
25,SPY,2022-03-21 11:35:00,825842,445.2200012207031,2022-03-21,695
26,SPY,2022-03-21 11:40:00,1073663,444.75,2022-03-21,700
27,SPY,2022-03-21 11:45:00,451059,444.8399963378906,2022-03-21,705
28,SPY,2022-03-21 11:50:00,513141,445.2300109863281,2022-03-21,710
29,SPY,2022-03-21 11:55:00,751892,445.4643859863281,2022-03-21,715
30,SPY,2022-03-21 12:00:00,763156,444.9700012207031,2022-03-21,720
31,SPY,2022-03-21 12:05:00,428775,445.2699890136719,2022-03-21,725
32,SPY,2022-03-21 12:10:00,640221,445.3999938964844,2022-03-21,730
33,SPY,2022-03-21 12:15:00,471536,445.385009765625,2022-03-21,735
34,SPY,2022-03-21 12:20:00,640409,445.7099914550781,2022-03-21,740
35,SPY,2022-03-21 12:25:00,484831,445.5,2022-03-21,745
36,SPY,2022-03-21 12:30:00,2747794,443.8399963378906,2022-03-21,750
37,SPY,2022-03-21 12:35:00,1427409,443.3800048828125,2022-03-21,755
38,SPY,2022-03-21 12:40:00,1202932,444.1449890136719,2022-03-21,760
39,SPY,2022-03-21 12:45:00,1045948,444.1300048828125,2022-03-21,765
40,SPY,2022-03-21 12:50:00,938242,442.5700073242188,2022-03-21,770
41,SPY,2022-03-21 12:55:00,1050603,442.3900146484375,2022-03-21,775
42,SPY,2022-03-21 13:00:00,1109794,441.7799987792969,2022-03-21,780
43,SPY,2022-03-21 13:05:00,881625,442.2900085449219,2022-03-21,785
44,SPY,2022-03-21 13:10:00,896090,441.7999877929688,2022-03-21,790
45,SPY,2022-03-21 13:15:00,1126666,440.7699890136719,2022-03-21,795
46,SPY,2022-03-21 13:20:00,1086093,441.30999755859375,2022-03-21,800
47,SPY,2022-03-21 13:25:00,810807,441.3031005859375,2022-03-21,805
48,SPY,2022-03-21 13:30:00,1050922,442.1600036621094,2022-03-21,810
49,SPY,2022-03-21 13:35:00,839836,442.42999267578125,2022-03-21,815
50,SPY,2022-03-21 13:40:00,642236,441.8200073242188,2022-03-21,820
51,SPY,2022-03-21 13:45:00,422254,442.1700134277344,2022-03-21,825
52,SPY,2022-03-21 13:50:00,484257,442.239990234375,2022-03-21,830
53,SPY,2022-03-21 13:55:00,733601,442.5499877929688,2022-03-21,835
54,SPY,2022-03-21 14:00:00,832166,442.239990234375,2022-03-21,840
55,SPY,2022-03-21 14:05:00,860125,442.4483947753906,2022-03-21,845
56,SPY,2022-03-21 14:10:00,386604,441.9700012207031,2022-03-21,850
